config_key,q21_map,q21_mean_rank,q22_map,q23_delta_f1,q24_stdc_rho,isotropy_rv,q1a2_precision_at_1_L1,norm_rank_spearman_rho,hdc_score
te3_preferred_label,0.04310811524661347,1293.373544932485,0.2691388944433317,0.6470137282918259,0.5447306514722924,0.1111564197890682,0.7066840655357401,N/A,N/A
te3_class_id,0.10927062201975042,1569.7898494490144,0.3381780297393084,0.930641617989258,0.5548561224747848,0.029732605798065925,0.998260113092649,N/A,N/A
te3_atc_path,0.32482165710464783,48.46843473537172,0.7438227261014321,0.9262583624080504,0.8612536533709331,0.06545644654565945,0.9994200376975496,N/A,N/A
te3_label_path,0.22695821533939117,51.24774949557659,0.5918012101759522,0.928029951330443,0.8499014404225159,0.07684219494364418,0.976946498477599,N/A,N/A
sapbert_preferred_label,0.040575910366545814,2416.8959917740185,0.27829013411756276,0.46431999497856064,0.35372121977874943,0.26274665957438653,0.5930114542554734,N/A,N/A
sapbert_class_id,0.07817679820941581,845.6337110041906,0.3458595355940876,0.9321360337559873,0.7380635337750382,0.10893412976716642,0.9979701319414238,N/A,N/A
sapbert_atc_path,0.22028747579103153,289.8575779916188,0.7991978985474645,0.9288652890291548,0.7634052067246995,0.12674000111756242,0.9973901696389734,N/A,N/A
sapbert_label_path,0.14813612639679832,623.8266141548968,0.6221884859609107,0.9253115917836837,0.711479234789136,0.18466448937702765,0.9127156734812237,N/A,N/A
lorentz,0.6003814321731787,12.281235449324848,0.9806708098854855,0.9576997682845267,0.8997825331779183,N/A,N/A,0.09148330459049551,0.2914426848757809
