demand_class,n_series,pct,median_adi,median_cv2
smooth,192116,0.5685637931085509,1.0,0.17773623026983415
erratic,105330,0.31172221120637356,1.0,0.8824883263837491
lumpy,27594,0.0816639390110004,1.75,1.1453880374026044
intermittent,12492,0.03696984584059639,2.0,0.2625017641905659
no_demand,365,0.0010802108334788411,,
