pattern,n_series,pct
internal_gaps,94032,0.27828598655803394
complete,92097,0.27255938939972835
leading_only,77344,0.22889815535503422
trailing_only,40735,0.12055448849797423
leading_and_trailing,33689,0.09970198018922927
