level,n_codes,mean_norm,std_norm,hdc_parent_at_level,n_child_pairs
1,14,14.374175071716309,6.463558673858643,1.0,94
2,94,43.936973571777344,14.857502937316895,0.8487084870848709,271
3,271,58.74189758300781,17.938526153564453,0.5224358974358975,936
4,936,60.50347137451172,20.76499366760254,0.21372268004299536,5582
5,5582,64.71980285644531,21.88896369934082,,0
