config_key,level,n_codes,n_classes,isotropy_rv,precision_chance,precision_at_1,precision_at_5,precision_at_10
te3_preferred_label,1,6897,14,0.1111564197890682,0.0865838891585736,0.7066840655357401,0.6528925619834711,0.6152095113817603
te3_preferred_label,2,6879,91,0.1111564197890682,0.019222779198999226,0.6246547463294083,0.5598197412414595,0.5129524640209333
te3_preferred_label,3,6722,242,0.1111564197890682,0.006928551643587063,0.5217197262719429,0.45531091936923535,0.40355548943766734
te3_class_id,1,6897,14,0.029732605798065925,0.0865838891585736,0.998260113092649,0.9977381470204436,0.9965927214731043
te3_class_id,2,6879,91,0.029732605798065925,0.019222779198999226,0.9973833406018316,0.9813344962930658,0.9666957406599795
te3_class_id,3,6722,242,0.029732605798065925,0.006928551643587063,0.9193692353466231,0.8878310026777745,0.8301844689080631
te3_atc_path,1,6897,14,0.06545644654565945,0.0865838891585736,0.9994200376975496,0.9986370885892416,0.9978976366536175
te3_atc_path,2,6879,91,0.06545644654565945,0.019222779198999226,0.985899113243204,0.9846780055240588,0.9764646024131415
te3_atc_path,3,6722,242,0.06545644654565945,0.006928551643587063,0.9550728949717346,0.9362689675691758,0.8974263612020232
te3_label_path,1,6897,14,0.07684219494364418,0.0865838891585736,0.976946498477599,0.9792083514571553,0.9810352327098739
te3_label_path,2,6879,91,0.07684219494364418,0.019222779198999226,0.9335659252798372,0.9350196249454863,0.9233900276202937
te3_label_path,3,6722,242,0.07684219494364418,0.006928551643587063,0.8479619160963999,0.8467717941088961,0.8086432609342459
sapbert_preferred_label,1,6897,14,0.26274665957438653,0.0865838891585736,0.5930114542554734,0.5210381325213862,0.4754095983761055
sapbert_preferred_label,2,6879,91,0.26274665957438653,0.019222779198999226,0.5018171245820613,0.4213112370984155,0.37252507631923243
sapbert_preferred_label,3,6722,242,0.26274665957438653,0.006928551643587063,0.4216007140731925,0.3349003272835465,0.28631359714370724
sapbert_class_id,1,6897,14,0.10893412976716642,0.0865838891585736,0.9979701319414238,0.9976801507901987,0.9967377120487169
sapbert_class_id,2,6879,91,0.10893412976716642,0.019222779198999226,0.9533362407326647,0.9028347143480158,0.8413577554877162
sapbert_class_id,3,6722,242,0.10893412976716642,0.006928551643587063,0.9080630764653377,0.8258256471288308,0.7323713180601011
sapbert_atc_path,1,6897,14,0.12674000111756242,0.0865838891585736,0.9973901696389734,0.9942293750906193,0.990517616354937
sapbert_atc_path,2,6879,91,0.12674000111756242,0.019222779198999226,0.9841546736444251,0.9790085768280273,0.9681785143189418
sapbert_atc_path,3,6722,242,0.12674000111756242,0.006928551643587063,0.9419815531091937,0.9008033323415651,0.8467271645343649
sapbert_label_path,1,6897,14,0.18466448937702765,0.0865838891585736,0.9127156734812237,0.8990865593736407,0.8856024358416703
sapbert_label_path,2,6879,91,0.18466448937702765,0.019222779198999226,0.85840965256578,0.8325047245239133,0.801569995638901
sapbert_label_path,3,6722,242,0.18466448937702765,0.006928551643587063,0.7767033620946147,0.7124367747694139,0.6525290092234455
