config_key,level,n_codes,n_classes,precision_chance,precision_at_1,precision_at_5,precision_at_10
lorentz,1,6897,14,0.0865838891585736,1.0,1.0,1.0
lorentz,2,6879,91,0.019222779198999226,1.0,0.9998546300334351,0.9986044483209768
lorentz,3,6722,242,0.006928551643587063,0.995983338292175,0.9954477833977983,0.9780720023802439
