dosage2,sales_units,n_rows,n_products,n_dosages,n_dosage2_values,n_brands,n_markets,n_quarters
DHP OR L M-D AER,10141142708.0,2064,5,1,1,31,21,48
MYT FOAMS N.O.S,9933340111.0,4512,30,1,1,76,20,48
QHP N.TOP U/D AERO,9433319282.0,2688,9,1,1,39,23,48
AEP U-DOSE POWDERS,8849636515.0,25728,90,1,1,263,38,48
IGB N.SYST DROPS,8376995163.0,2304,4,1,1,22,27,48
NGA OPHTHAL.LIQUID,7889420935.0,4800,37,1,1,57,26,48
MGP TOP M-D LIQ,7140610840.0,2304,6,1,1,33,24,48
DKA TEAS MEDICINAL,7051629412.0,14448,19,1,1,98,22,48
FNE P-F SYRNG SC,6906236683.0,61440,30,1,1,259,38,48
MLB SUPP TOP.ADULT,6719302803.0,10320,14,1,1,153,34,48
IGP N SYS M-D LIQ,6317083600.0,11568,19,1,1,121,38,48
FNA PRE-FILL SYRNG,6183254672.0,49488,94,1,1,289,38,48
DYG READY FOODS,6011288556.0,13344,12,1,1,172,23,48
QVA N.TOP GEL/SOL,5673266316.0,2112,8,1,1,23,22,48
KTA O.TOP CREAMS,5550585640.0,1968,14,1,1,22,7,48
MEC DUSTING POWDER,5422124780.0,9792,34,1,1,131,34,48
DDY LIQ SPEC FORM,5258102470.0,1872,19,1,1,29,7,48
ADG SWEETS/BONBONS,5166791224.0,22128,56,1,1,229,19,48
BAB RET DISINT TAB,5084341219.0,1440,5,1,1,23,6,48
HLC R SYS PAED SUP,5060655216.0,15360,33,1,1,174,37,48
DKP TEA BAGS,5018918823.0,10656,20,1,1,85,22,48
FPC VIAL IV,4989580432.0,129168,186,1,1,595,38,48
ADY OTH SPEC FRMS,4758746720.0,10704,46,1,1,113,32,48
BAY OTH TABS RET,4752708415.0,3504,4,1,1,37,35,48
NVA OPHTH.GEL/SOL,4727131278.0,2304,12,1,1,32,23,48
KVA O.TOP GEL/SOL,4672484504.0,10368,21,1,1,154,33,48
JVA SYST GELS/SOLS,4555904025.0,3408,5,1,1,17,34,48
HLA R SYS SUPP NOS,4440870495.0,20784,56,1,1,209,38,48
BEP RET DOSE PWDR,4136208354.0,5856,8,1,1,45,37,48
TVA VAG.GELS/SOLS,4058717795.0,5520,15,1,1,77,30,48
ABB GELATIN CT TAB,3671754772.0,1008,14,1,1,11,6,48
MGK SUSP.TOPICAL,3440171446.0,2160,8,1,1,40,10,48
QSA N.TOP OINTMENT,3345402213.0,4848,6,1,1,67,31,48
PGA OTIC LIQUIDS,3327437050.0,2016,8,1,1,36,13,48
DEH EFFERV PDR/GRN,2639323918.0,2688,18,1,1,48,18,48
MQS IRRIGAT.FLUID,2592062109.0,18480,24,1,1,136,35,48
DGL EMULSION,2573005709.0,3072,14,1,1,51,21,48
MGL EMUL.TOPICAL,2566750446.0,7344,38,1,1,98,31,48
MGE INHAL. LIQUID,2556371160.0,672,6,1,1,13,6,48
HLB R SYS ADLT SUP,2452840554.0,31968,63,1,1,244,37,48
MLA SUPPS TOPICAL,2404026741.0,6816,19,1,1,96,19,48
FNC P-F SYRNG I.V.,2377824239.0,22368,46,1,1,190,38,48
TLS VAGINAL SUPPOS,2352753268.0,27120,37,1,1,271,36,48
MLX MICRO ENEMAS,2083774785.0,6144,7,1,1,114,27,48
PGJ OTIC DRY DROPS,1997392800.0,144,1,1,1,3,2,48
FND PRE-FILL I.M,1944582990.0,7872,29,1,1,65,35,48
MGH OIL TOPICAL,1923427751.0,4944,25,1,1,92,16,48
DGH OIL ORAL,1920145974.0,6624,15,1,1,113,21,48
MVW WASH GEL,1890573015.0,2544,24,1,1,34,18,48
JVN SYS U-D GELS,1814282796.0,5568,3,1,1,54,35,48
QEP N.TOP U-D PWDR,1767248685.0,4416,9,1,1,75,23,48
TAY VAG OTHER TABS,1766486936.0,3168,4,1,1,31,25,48
TAA VAG.TABLETS,1665002710.0,19824,31,1,1,231,38,48
FMB DRY AMPS.INJ,1599335856.0,26832,112,1,1,235,36,48
MSB PASTE,1559012826.0,4944,19,1,1,82,23,48
KSA O.T.OINTMENT,1543153513.0,2016,9,1,1,35,13,48
QGN N.TOP U-D LIQ,1447009859.0,4128,7,1,1,58,24,48
EGA ORAL LIQ RET.,1443935711.0,672,6,1,1,13,5,48
FQY OTH. INFUSIONS,1387897572.0,27216,143,1,1,102,29,48
NGJ OPHTH.DRY DROP,1377580000.0,336,6,1,1,6,5,48
VZT N-H DIAG STKS,1276155602.0,41520,6,1,1,614,24,48
TCA CAPSULES VAG.,1270850878.0,5472,16,1,1,67,35,48
NVN OPHT U-D GELS,1253455013.0,2928,8,1,1,32,18,48
VZV N-H TST EX ST,1220802785.0,54912,9,1,1,908,22,48
AAZ COMBI-PACK TAB,1146634761.0,3840,34,1,1,46,18,48
MYM ROLL STICK,1122656858.0,6000,36,1,1,103,29,48
JGP OTH SY M-D LIQ,1043732146.0,2304,3,1,1,21,27,48
KEK O.T.SOL PWDR,1004868723.0,960,6,1,1,19,5,48
VEK N-H USE SOL PD,967941100.0,192,3,1,1,4,3,48
REN U-D PWD REFILL,931111224.0,1872,8,1,1,18,15,48
MGX TOP.ENEMA LIQ,929758691.0,4848,12,1,1,85,31,48
MWD PADS W SUB,887301121.0,5808,28,1,1,88,20,48
MLC SUPP TOP.CHILD,885897598.0,5712,5,1,1,100,30,48
MGD COLLODIUM,847250832.0,16800,7,1,1,178,36,48
KEA O.TOP POWDERS,846963124.0,432,6,1,1,8,5,48
QGH NASAL TOP OILS,830780900.0,96,1,1,1,2,2,48
DGC SPRAY ORAL,824464314.0,6960,38,1,1,93,17,48
MJA BATH,781524637.0,912,10,1,1,17,6,48
MGB DROPS TOPICAL,776513360.0,3168,25,1,1,54,14,48
FNY OTH P-FILL SYR,758801451.0,19968,8,1,1,285,37,48
FRP U-D CARTRIDGE,741162605.0,3120,5,1,1,42,23,48
ABG CHEW.CTD TABS,735711676.0,912,13,1,1,17,12,48
FNH PREFIL AUTOINJ,646565650.0,24048,12,1,1,129,36,48
ABZ C-PCK CTD TABS,635132540.0,1920,10,1,1,24,20,48
KAG O.T. CHEW TAB,620138012.0,576,9,1,1,12,5,48
GPB VIAL DRY RET,594499415.0,26064,16,1,1,177,38,48
PGN OTIC U-D LIQ,587330265.0,2160,10,1,1,29,15,48
DYH LIQ FOOD N RDY,554265751.0,29856,14,1,1,492,23,48
MGN TOP U-D LIQ,550662208.0,5232,23,1,1,84,22,48
GMD AMPS I.M.RET,546604522.0,14400,20,1,1,119,38,48
GPD VIAL IM RET,540632780.0,11136,11,1,1,113,35,48
FMY AMPS OTHERS,540071458.0,12960,17,1,1,141,38,48
NGS OPHTH.LOTION,536443431.0,576,5,1,1,8,3,48
MWC GAUZE W SUB,524593079.0,6720,17,1,1,78,25,48
MVY OTH GELS/SOLS,523186750.0,1152,17,1,1,20,5,48
AAE BUCCAL TABLETS,504421182.0,3600,14,1,1,51,29,48
FRF P-F PENS,502407780.0,17808,12,1,1,104,38,48
JRP OTH SYS UD CAR,500853767.0,1248,1,1,1,11,18,48
MTW CRM SOAP/WASH,482577157.0,1296,12,1,1,26,14,48
FPD VIAL IM,481288395.0,12240,81,1,1,152,36,48
VGC N-H SP W/O GAS,474235750.0,336,5,1,1,5,4,48
ACS CACHETS,463790388.0,240,4,1,1,5,3,48
FME AMPOULES S.C.,460624490.0,5664,27,1,1,79,32,48
RHM BREATH-ACT MDI,453609034.0,960,4,1,1,9,8,48
FPE VIAL SC,446367523.0,31536,28,1,1,171,38,48
MVP TOP M-DOS GEL,431797213.0,336,2,1,1,7,2,48
MSN TOP U-D OINTS,421293868.0,1008,11,1,1,17,8,48
MTN TOP U-D CREAMS,409337266.0,8304,8,1,1,91,38,48
MJH BATH OIL,381680460.0,864,5,1,1,14,7,48
FNZ CMB-PK P-F SYR,376142781.0,240,5,1,1,3,2,48
DEY OTHER PDR/GRN,350672062.0,144,2,1,1,3,2,48
ACG CHEW.CAPSULES,339094164.0,3456,10,1,1,52,19,48
TAH VAG.EFFERV.TAB,332326782.0,2880,16,1,1,50,5,48
KHP U-D PRESS.AERO,328706040.0,144,3,1,1,3,3,48
TVN VAG U-DOSE GEL,316715929.0,4224,10,1,1,44,37,48
GPA VIAL RET,299217730.0,8688,12,1,1,83,37,48
MEA POWDERS N.O.S,280531481.0,1248,15,1,1,22,11,48
HGX R SYS ENEM LIQ,278173717.0,7632,14,1,1,86,38,48
MDY OTH.SPEC.FORM,276430848.0,672,4,1,1,8,10,48
MNS INSTIL P-F SYR,276383711.0,3360,6,1,1,39,29,48
MWY OTH MED DRESS.,274671544.0,2016,18,1,1,42,14,48
VZY N-H USE M-AIDS,268258753.0,4992,21,1,1,72,20,48
MVN TOP U-D GELS,267553374.0,2400,12,1,1,43,15,48
QGL N.TOP EMULSION,258301600.0,96,1,1,1,1,2,48
IGN N SYS U-D LIQ,257116853.0,8304,13,1,1,77,34,48
TYQ MECH PES W SUB,256836242.0,7728,4,1,1,76,35,48
PSA OTIC OINTMENT,247592434.0,192,2,1,1,4,3,48
AAY OTHER TABLETS,236297726.0,480,8,1,1,10,6,48
GND P-F SYR IM RT,235364751.0,27504,13,1,1,159,38,48
BBY OTH CT.TAB RET,235248848.0,624,3,1,1,9,10,48
