dosage2,sales_units,n_rows,n_products,n_dosages,n_dosage2_values,n_brands,n_markets,n_quarters
GPY VIAL OTHER RET,252998.0,816,3,1,1,7,15,48
MSY OINTMENT OTHER,214912.0,48,1,1,1,1,1,48
MNY TOP OTH PF SYR,186295.0,144,1,1,1,3,3,48
KYK O.T.STYLI/CONE,158167.0,48,1,1,1,1,1,48
MWZ C-PCK MED DRES,150284.0,144,3,1,1,3,3,48
AEF SUBL PWDR/GRNL,148076.0,48,1,1,1,1,1,48
JFA SYS GAS INHAL,132935.0,96,2,1,1,2,2,48
HHT R SYS FOAMS,124726.0,48,1,1,1,1,1,48
MMA TOP AMPOULES,106609.0,240,3,1,1,5,4,48
ADZ C-PCK SPC FRMS,97612.0,144,2,1,1,3,3,48
RYJ CIGARETTES,94367.0,288,3,1,1,6,3,48
VHA N-H USE AEROS,89707.0,48,1,1,1,1,1,48
MPA TOP/EXT. VIALS,82875.0,192,4,1,1,4,4,48
VGB N-HUM USE DROP,82349.0,576,2,1,1,12,1,48
THT VAG.PRESS.FOAM,71664.0,96,2,1,1,2,2,48
THA VAG.PRESS.AERO,71479.0,48,1,1,1,1,1,48
MHW PRES SOAP/WASH,68274.0,48,1,1,1,1,1,48
VAK N-H SOLUBL TAB,59581.0,144,1,1,1,3,1,48
MZE TAMPON W/O SUB,52532.0,192,3,1,1,3,1,48
NMA OPHTH AMPOULES,46142.0,240,3,1,1,5,5,48
KGJ DRY SUSP/DROP,44730.0,48,1,1,1,1,1,48
MZG BAND W/O SUB,36926.0,144,2,1,1,3,2,48
JEY SYST.PDR/GRNL,32261.0,720,1,1,1,6,15,48
GRA CARTRIDGES RET,25674.0,48,1,1,1,1,1,48
MYP BONE CEMENT,24620.0,144,1,1,1,2,3,48
NZD OP.PAD W/O SUB,24425.0,48,1,1,1,1,1,48
GMB DRY AMPS.RET.,23447.0,96,2,1,1,2,2,48
NZY OPHT OTH M/AID,13820.0,48,1,1,1,1,1,48
MEY TOP OTH PDR/GR,12700.0,96,1,1,1,2,1,48
KYM STICK/ROLL-ON,12684.0,48,1,1,1,1,1,48
MZV TOP TST EX ST,9751.0,192,2,1,1,3,4,48
FPF VIAL ID,7543.0,48,1,1,1,1,1,48
JWM TRANSDER SYSTM,7313.0,144,1,1,1,1,3,48
MMF TOP I D AMPS,7220.0,96,1,1,1,2,2,48
PYY OT OTH SPC FRM,6790.0,48,1,1,1,1,1,48
DKY OTHER TEAS,4350.0,48,1,1,1,1,1,48
GRG DRY P-F PEN RT,3380.0,48,1,1,1,1,1,48
AEZ C-PCK PDR/GRNL,3190.0,96,2,1,1,2,2,48
ABF SUBL.COAT.TABS,1613.0,48,1,1,1,1,1,48
TAK VAG.SOLUB.TABS,800.0,48,1,1,1,1,1,48
JYM STICKS+ROLL-ON,428.0,96,2,1,1,2,2,48
JGN OTH SY U-D LIQ,224.0,48,1,1,1,1,1,48
IVN NA SYS U-D GEL,218.0,48,1,1,1,1,1,48
MPY TOP. OTH.VIALS,104.0,48,1,1,1,1,1,48
GNH PF AUTOINJ RET,92.0,48,1,1,1,1,1,48
MGJ DRY SUSP/DROPS,70.0,48,1,1,1,1,1,48
MHZ C-PCK PRES AER,70.0,48,1,1,1,1,1,48
DEZ LIQ C-PCK P/GR,57.0,48,1,1,1,1,1,48
MEZ TOP C/PK GR/PD,34.0,48,1,1,1,1,1,48
FQF INF CARTRIDGES,23.0,48,1,1,1,1,1,48
MZP BONE CEMENT WO,21.0,96,2,1,1,2,1,48
AYZ C-PCK SP FRM,10.0,48,1,1,1,1,1,48
ZZZ C-PCK M-AIDS,1.0,48,1,1,1,1,1,48
