dosage,sales_units,n_rows,n_products,n_dosages,n_dosage2_values,n_brands,n_markets,n_quarters
MZ OTH.MED.AIDS,75195724.0,17472,28,1,10,143,19,48
NW OPHT.MED.DRESS,74854260.0,192,3,1,2,3,4,48
NN OPHTHALMICPRE-FILLEDSYRINGES,71442477.0,14208,9,1,1,127,37,48
VY N-H USE SPC FM,58097598.0,48,1,1,1,1,1,48
VA N-HUM USE TABS,46446773.0,288,4,1,2,6,2,48
IH N.SY PRES AERO,44771335.0,240,4,1,1,5,3,48
AS OINTMENT,43695702.0,336,3,1,1,7,6,48
JT CREAMS SYST.,41258368.0,432,4,1,1,6,5,48
NP OPHTHAL VIALS,40201664.0,8592,12,1,2,61,38,48
EE PDR/GRN LQ.RET,35766561.0,1296,6,1,2,13,16,48
MP TOP/EXT. VIALS,34529340.0,6912,16,1,5,84,37,48
ZG UNKNOWN LIQUID,33855425.0,144,2,1,1,2,2,48
IV N.SYST GEL/SOL,16716878.0,192,2,1,2,3,4,48
HC RECT. SYSTEM. CAPSULE,13367347.0,384,4,1,1,6,6,48
KC ORAL TOP CAPS,12505460.0,96,2,1,1,2,2,48
VM N-HUM USE AMPS,12356221.0,672,4,1,1,14,5,48
QY N.T.OTH SPC FM,11471583.0,192,2,1,1,4,2,48
KZ O.TOP MED AID,11150764.0,96,2,1,1,2,2,48
VV N-HUM GEL/SOL,10766734.0,384,5,1,1,8,4,48
HE RECT. SYSTEM. PDR/GRN,10105935.0,96,1,1,1,2,1,48
NA OPHT TABLETS,10023005.0,96,1,1,1,2,1,48
QC N.TOP CAPSULES,8939951.0,144,3,1,1,3,2,48
GY OTH FRM PAR.RT,7599877.0,2400,11,1,1,31,24,48
HA RECT. SYSTEM. TABLETS,7542004.0,1488,1,1,1,17,20,48
NH OPHT.PRES.AERO,7181027.0,96,1,1,1,2,2,48
VP N-HUM USE VIAL,4889245.0,336,5,1,1,7,4,48
MM AMPOULES TOP,4877368.0,1200,7,1,4,21,17,48
VS N-HUM USE OINT,3241534.0,240,4,1,1,4,2,48
MC CAPS EXTERNAL,3202016.0,432,5,1,1,7,4,48
VW N-H USE M-DRES,2067120.0,48,1,1,1,1,1,48
IE NASAL SYSTEMIC POWDERS/GRANULES,1523744.0,48,1,1,1,1,1,48
ZE UNK.PWDRS/GRAN,1333220.0,144,2,1,1,3,3,48
VT N-H USE CREAM,1134000.0,96,2,1,1,2,2,48
NZ OPHTHALM M-AID,844845.0,192,3,1,3,4,3,48
BD ENTERIC-COATED TABLETS,801430.0,192,2,1,1,4,3,48
ND OPHT SOL FORM,797178.0,336,4,1,1,6,3,48
HS RECT. SYSTEM. OINTMENTS,783400.0,48,1,1,1,1,1,48
MA TABS TOPICAL,615890.0,48,1,1,1,1,1,48
KY O.T.OTH.SP.FRM,170851.0,96,2,1,2,2,2,48
TH VAGINAL AERO.,143143.0,144,3,1,2,3,3,48
JF GASES OTH.SYST,132935.0,96,2,1,1,2,2,48
RY OTH LUNG ADMIN,94367.0,288,3,1,1,6,3,48
VH PRESS.AERO.N-H,89707.0,48,1,1,1,1,1,48
NM AMP.OPHTH.,46142.0,240,3,1,1,5,5,48
JE PDR/GRN OTH.SY,32261.0,720,1,1,1,6,15,48
GR PARENTERAL RETARD CARTRIDGES/PENS,29054.0,96,2,1,2,2,2,48
PY OTIC OTH SPC FM,6790.0,48,1,1,1,1,1,48
JY SPC FM OTH.SYS,428.0,96,2,1,1,2,2,48
ZZ UNK.PWDRS/GRAN,1.0,48,1,1,1,1,1,48
